V1,	V2,	V3,	V4,	V5,	V6,	V7,	V8,	V9,	V10,	V11,	V12,	V13,	V14
2386,	nan,	NA,	d,	0.86665,	b,	l,	NA,	a,	a,	0.0,	0.0,	0.60204,	a,	0
2387,	0.32877,	a,	h,	0.59999,	a,	c,	NA,	a,	a,	nan,	0.0,	0.39794,	NA,	0
2388,	0.13698,	c,	h,	nan,	b,	b,	c,	NA,	b,	0.0,	0.0,	nan,	NA,	0
2389,	0.32877,	f,	h,	0.59999,	b,	j,	b,	NA,	a,	0.0,	0.0,	0.39794,	a,	0
2390,	0.04109,	c,	b,	0.53333,	NA,	b,	NA,	a,	NA,	0.0,	0.0,	0.44897,	a,	0
2391,	0.56164,	b,	b,	0.53333,	f,	NA,	e,	a,	b,	0.0,	0.0,	0.44897,	a,	0
2392,	0.24657,	b,	n,	0.46666,	a,	e,	a,	NA,	b,	0.0,	0.0,	0.39794,	NA,	0
2393,	0.05479,	c,	b,	0.53333,	a,	i,	NA,	a,	NA,	nan,	0.0,	nan,	a,	0
2394,	0.16438,	c,	f,	nan,	a,	d,	e,	NA,	a,	0.0,	nan,	nan,	a,	0
2395,	0.31504,	c,	NA,	0.53333,	g,	l,	a,	a,	NA,	0.0,	0.0,	0.39794,	a,	0
2396,	0.24657,	c,	a,	0.79998,	NA,	l,	b,	a,	a,	0.0,	0.0,	0.49997,	a,	0
2397,	0.31504,	c,	a,	0.79998,	f,	e,	a,	NA,	b,	0.0,	0.0,	0.39794,	NA,	0
2398,	0.57532,	c,	b,	0.53333,	NA,	l,	e,	NA,	b,	0.0,	0.0,	nan,	a,	0
2399,	0.35614,	NA,	h,	0.59999,	b,	d,	NA,	a,	NA,	nan,	0.0,	nan,	NA,	0
2400,	0.46575,	c,	g,	0.19998,	d,	NA,	a,	b,	b,	0.0,	0.0,	0.29591,	a,	0
2401,	0.73972,	c,	h,	0.59999,	NA,	NA,	a,	a,	b,	0.02963,	0.0,	nan,	a,	0
2402,	0.21916,	c,	NA,	nan,	c,	d,	e,	NA,	b,	0.0,	nan,	0.39794,	a,	0
2403,	0.15068,	NA,	b,	nan,	NA,	e,	d,	b,	NA,	0.0,	0.0,	0.34694,	a,	0
2404,	0.17808,	c,	b,	0.53333,	f,	l,	NA,	NA,	NA,	0.0,	0.0,	0.39794,	a,	0
2405,	0.04109,	c,	NA,	0.13333,	f,	NA,	NA,	a,	a,	0.0,	0.0,	0.39794,	NA,	0
2406,	0.46575,	NA,	NA,	nan,	NA,	l,	NA,	a,	NA,	0.0,	0.0,	0.49997,	a,	0
2407,	0.27395,	c,	b,	0.53333,	a,	j,	d,	a,	a,	0.0,	0.0,	0.60204,	NA,	0
2408,	0.15068,	c,	e,	0.26665,	a,	d,	a,	a,	a,	0.0,	0.0,	0.49997,	s,	0
2409,	0.08218,	NA,	b,	0.53333,	a,	l,	d,	e,	NA,	0.0,	nan,	0.47959,	w,	0
2410,	0.30136,	c,	a,	0.79998,	b,	l,	c,	NA,	b,	0.0,	0.0,	0.29591,	a,	0
2411,	0.19177,	c,	NA,	0.19998,	NA,	NA,	NA,	a,	a,	0.0,	0.0,	0.39794,	NA,	0
2412,	0.08218,	NA,	a,	0.79998,	a,	NA,	d,	NA,	a,	0.0,	nan,	0.39794,	a,	0
2413,	0.41097,	c,	k,	0.33333,	g,	d,	a,	a,	a,	nan,	0.0,	0.39794,	a,	0
2414,	0.57532,	NA,	b,	0.53333,	g,	NA,	NA,	a,	b,	nan,	0.0,	0.17346,	a,	0
2415,	0.20548,	c,	f,	0.73332,	NA,	b,	b,	a,	a,	0.0,	nan,	nan,	a,	0
2416,	0.89038,	NA,	g,	0.19998,	NA,	NA,	a,	NA,	a,	0.0,	0.0,	nan,	a,	0
2417,	0.78082,	NA,	NA,	0.53333,	g,	e,	a,	a,	a,	0.0,	nan,	0.16326,	a,	0
2418,	nan,	c,	h,	0.59999,	a,	NA,	d,	NA,	a,	0.0,	0.0,	0.34694,	a,	0
2419,	0.20548,	c,	h,	0.59999,	b,	i,	b,	a,	a,	0.0,	0.0,	nan,	G,	0
2420,	0.57532,	c,	NA,	0.40000,	c,	a,	e,	a,	b,	nan,	0.0,	nan,	a,	0
2421,	nan,	f,	b,	nan,	b,	e,	NA,	a,	NA,	0.0,	0.45958,	0.44897,	NA,	0
2422,	0.10958,	b,	h,	0.59999,	a,	i,	NA,	NA,	a,	0.0,	nan,	0.34694,	NA,	0
2423,	0.36987,	c,	a,	nan,	NA,	a,	a,	b,	a,	0.0,	nan,	0.65304,	a,	0
2424,	0.56164,	f,	NA,	0.33333,	b,	g,	b,	NA,	a,	0.0,	0.0,	0.39794,	a,	0
2425,	0.30136,	c,	a,	0.79998,	b,	l,	b,	a,	a,	0.03463,	0.0,	nan,	a,	0
2426,	0.20548,	NA,	b,	0.53333,	a,	NA,	d,	b,	a,	0.0,	0.0,	0.39794,	a,	0
2427,	0.38356,	c,	g,	0.19998,	c,	NA,	a,	a,	a,	0.0,	0.0,	0.47959,	a,	0
2428,	0.47944,	NA,	h,	nan,	NA,	NA,	b,	a,	a,	0.0,	0.0,	nan,	a,	0
2429,	0.53422,	b,	l,	0.06666,	d,	j,	a,	a,	a,	0.0,	0.0,	nan,	NA,	0
2430,	nan,	c,	b,	nan,	NA,	NA,	a,	a,	b,	0.0,	0.0,	0.39794,	NA,	0
2431,	0.23289,	c,	b,	nan,	NA,	NA,	e,	b,	b,	0.0,	0.0,	0.34694,	NA,	0
2432,	0.26026,	NA,	g,	nan,	NA,	NA,	b,	a,	a,	0.0,	0.0,	0.34694,	a,	0
2433,	0.32877,	c,	b,	0.53333,	f,	i,	a,	a,	a,	0.0,	nan,	nan,	q,	0
2434,	0.17808,	c,	h,	0.59999,	a,	c,	d,	NA,	a,	0.0,	0.0,	0.39794,	d,	0
2435,	0.36987,	NA,	NA,	0.79998,	b,	j,	b,	NA,	a,	nan,	0.0,	0.39794,	NA,	0
2436,	nan,	NA,	NA,	0.59999,	NA,	NA,	NA,	e,	NA,	0.0,	0.0,	0.39794,	o,	0
2437,	0.23289,	c,	h,	0.59999,	a,	e,	e,	NA,	b,	0.0,	nan,	nan,	a,	0
2438,	0.32877,	c,	h,	0.59999,	d,	e,	NA,	b,	a,	0.0,	0.0,	0.39794,	a,	0
2439,	0.16438,	c,	b,	0.53333,	a,	b,	a,	a,	a,	0.0,	0.0,	0.39794,	a,	0
2440,	0.10958,	NA,	NA,	nan,	a,	d,	NA,	a,	a,	0.0,	0.0,	0.47959,	d,	0
2441,	0.34246,	f,	a,	0.79998,	d,	c,	e,	NA,	a,	nan,	0.0,	nan,	a,	0
2442,	0.12328,	c,	i,	0.66665,	a,	l,	a,	a,	a,	0.0,	0.0,	0.55101,	a,	0
2443,	nan,	e,	a,	nan,	NA,	NA,	b,	a,	a,	0.0,	0.0,	0.44897,	a,	0
2444,	0.43834,	a,	c,	nan,	b,	NA,	b,	a,	NA,	0.0,	nan,	0.39794,	NA,	0
2445,	0.08218,	c,	NA,	0.59999,	NA,	l,	d,	b,	b,	0.0,	nan,	nan,	NA,	0
2446,	0.17808,	c,	b,	0.53333,	a,	NA,	e,	a,	a,	0.0,	nan,	0.55101,	a,	0
2447,	0.41097,	NA,	NA,	nan,	c,	NA,	a,	a,	a,	nan,	0.0,	0.39794,	a,	0
2448,	nan,	c,	b,	0.53333,	c,	i,	d,	a,	NA,	nan,	0.38313,	0.49997,	a,	0
2449,	0.02739,	c,	NA,	0.53333,	a,	b,	d,	a,	a,	0.0,	0.0,	nan,	a,	0
2450,	0.38356,	c,	NA,	0.73332,	c,	NA,	e,	a,	NA,	0.05455,	0.0,	0.37755,	a,	0
2451,	0.12328,	c,	b,	0.53333,	a,	i,	a,	a,	NA,	0.0,	nan,	0.39794,	a,	0
2452,	0.19177,	c,	h,	nan,	NA,	a,	a,	a,	NA,	0.0,	0.0,	0.42855,	NA,	0
2453,	0.26026,	e,	f,	0.73332,	d,	j,	NA,	a,	a,	0.0,	0.0,	0.49997,	a,	0
2454,	0.17808,	NA,	a,	0.79998,	b,	h,	b,	a,	a,	0.0,	0.0,	0.39794,	a,	0
2455,	0.05479,	NA,	b,	0.53333,	b,	NA,	c,	b,	b,	0.0,	0.0,	nan,	a,	0
2456,	0.76713,	c,	k,	nan,	NA,	e,	a,	a,	NA,	0.0,	nan,	0.09183,	NA,	0
2457,	0.17808,	c,	k,	0.33333,	a,	i,	a,	a,	a,	0.0,	0.0,	0.49997,	a,	0
2458,	nan,	c,	NA,	0.59999,	c,	a,	e,	a,	b,	0.0,	0.0,	0.45917,	a,	0
2459,	0.23289,	f,	d,	0.86665,	a,	c,	a,	NA,	NA,	0.0,	0.0,	0.49997,	a,	0
2460,	0.24657,	c,	NA,	0.53333,	NA,	i,	b,	a,	a,	0.0,	nan,	0.39794,	a,	0
2461,	0.38356,	c,	a,	nan,	c,	j,	NA,	NA,	b,	0.0,	0.0,	0.39794,	a,	0
2462,	0.13698,	c,	h,	0.59999,	NA,	NA,	a,	a,	a,	0.0,	0.0,	0.47959,	a,	0
2463,	nan,	c,	h,	0.59999,	NA,	f,	f,	a,	a,	nan,	0.0,	0.49997,	a,	0
2464,	0.31504,	c,	b,	0.53333,	d,	e,	f,	NA,	b,	nan,	0.0,	0.24489,	a,	0
2465,	nan,	c,	p,	0.93331,	b,	a,	NA,	a,	a,	0.0,	0.0,	0.39794,	a,	0
2466,	0.02739,	c,	b,	0.53333,	a,	e,	d,	a,	a,	0.0,	0.0,	0.19387,	NA,	0
2467,	0.16438,	c,	j,	nan,	a,	e,	a,	NA,	NA,	0.0,	0.0,	0.24489,	NA,	0
2468,	nan,	e,	h,	0.59999,	b,	f,	b,	NA,	NA,	0.0,	0.0,	0.72447,	a,	0
2469,	0.20548,	a,	NA,	0.73332,	NA,	i,	b,	a,	a,	nan,	0.0,	0.39794,	a,	0
2470,	nan,	c,	c,	0.40000,	b,	i,	b,	a,	a,	nan,	0.0,	nan,	NA,	0
2471,	0.78082,	NA,	g,	0.19998,	b,	NA,	NA,	a,	a,	nan,	0.0,	0.01020,	a,	0
2472,	0.30136,	b,	NA,	0.53333,	b,	NA,	b,	NA,	a,	0.0,	0.0,	nan,	a,	0
2473,	0.35614,	c,	NA,	nan,	c,	j,	e,	a,	b,	0.0,	nan,	0.39794,	a,	0
2474,	0.06849,	c,	h,	0.59999,	NA,	NA,	a,	a,	b,	0.0,	0.0,	0.60204,	NA,	0
2475,	0.09588,	c,	b,	0.53333,	b,	NA,	b,	a,	a,	nan,	0.0,	0.44897,	a,	0
2476,	0.10958,	c,	h,	0.59999,	a,	e,	e,	b,	b,	0.0,	0.0,	0.39794,	a,	0
2477,	0.02739,	c,	h,	0.59999,	a,	l,	a,	NA,	b,	0.0,	0.0,	0.27550,	a,	0
2478,	0.19177,	c,	f,	0.73332,	NA,	a,	NA,	NA,	b,	0.0,	0.0,	0.40816,	NA,	0
2479,	nan,	c,	c,	nan,	NA,	i,	f,	a,	b,	0.0,	0.0,	0.39794,	a,	0
2480,	0.60274,	c,	b,	0.53333,	NA,	a,	NA,	a,	a,	0.0,	nan,	0.02040,	a,	0
2481,	0.41097,	c,	a,	0.79998,	b,	e,	b,	a,	a,	0.0,	0.0,	0.39794,	p,	0
2482,	0.27395,	c,	b,	nan,	c,	a,	e,	a,	NA,	0.0,	nan,	0.44897,	a,	0
2483,	0.45203,	b,	a,	0.79998,	c,	j,	NA,	a,	a,	0.0,	0.0,	0.29591,	a,	0
2484,	0.13698,	c,	NA,	0.59999,	a,	NA,	a,	a,	a,	0.0,	0.0,	0.43878,	NA,	0
2485,	nan,	c,	b,	0.53333,	c,	a,	a,	a,	b,	nan,	nan,	0.39794,	NA,	0
2486,	0.35614,	NA,	NA,	0.53333,	b,	b,	b,	b,	a,	0.0,	0.0,	0.39794,	NA,	0
2487,	nan,	NA,	NA,	0.73332,	b,	a,	b,	NA,	a,	0.0,	0.0,	nan,	a,	0
2488,	0.26026,	c,	NA,	0.59999,	a,	l,	NA,	a,	b,	nan,	0.0,	0.34694,	NA,	0
2489,	0.53422,	c,	a,	0.79998,	b,	c,	b,	a,	a,	nan,	0.0,	0.49997,	a,	0
2490,	0.12328,	c,	b,	0.53333,	b,	f,	b,	a,	a,	nan,	0.0,	0.55101,	a,	0
2491,	nan,	c,	a,	0.79998,	NA,	c,	d,	a,	b,	0.0,	0.0,	0.37755,	NA,	0
2492,	0.41097,	c,	NA,	0.40000,	a,	g,	a,	b,	a,	0.0,	0.0,	0.39794,	a,	0
2493,	0.69862,	c,	n,	0.46666,	g,	l,	a,	a,	b,	0.0,	0.0,	0.29591,	a,	0
2494,	nan,	f,	h,	0.59999,	a,	k,	NA,	b,	a,	nan,	0.0,	0.39794,	a,	0
2495,	0.12328,	c,	h,	0.59999,	b,	j,	b,	a,	a,	nan,	nan,	0.60204,	a,	0
2496,	0.04109,	NA,	b,	nan,	a,	NA,	d,	a,	a,	0.0,	nan,	0.39794,	a,	0
2497,	0.39724,	c,	h,	0.59999,	a,	a,	d,	a,	b,	0.0,	nan,	0.39794,	NA,	0
2498,	nan,	c,	h,	0.59999,	b,	i,	b,	a,	NA,	0.0,	0.0,	nan,	a,	0
2499,	nan,	c,	h,	nan,	b,	NA,	b,	a,	a,	0.0,	0.0,	0.41836,	a,	0
2500,	0.57532,	c,	d,	0.86665,	g,	c,	NA,	a,	b,	0.0,	0.0,	0.39794,	a,	0
2501,	0.30136,	c,	b,	0.53333,	NA,	a,	NA,	a,	NA,	nan,	0.0,	0.39794,	a,	0
2502,	0.20548,	NA,	h,	0.59999,	c,	f,	a,	a,	b,	0.0,	0.36500,	0.54081,	a,	0
2503,	nan,	c,	NA,	0.59999,	b,	c,	NA,	a,	a,	0.0,	nan,	nan,	a,	0
2504,	0.57532,	c,	a,	0.79998,	c,	NA,	e,	a,	NA,	0.0,	0.0,	nan,	a,	0
2505,	0.26026,	NA,	n,	0.46666,	a,	NA,	a,	NA,	a,	0.0,	0.0,	nan,	a,	0
2506,	0.12328,	c,	b,	0.53333,	a,	h,	f,	a,	a,	nan,	0.0,	0.39794,	NA,	0
2507,	0.23289,	c,	b,	0.53333,	c,	a,	NA,	a,	b,	0.0,	0.0,	0.39794,	a,	0
2508,	nan,	c,	b,	0.53333,	a,	b,	d,	b,	a,	0.0,	0.0,	0.39794,	a,	0
2509,	nan,	c,	b,	0.53333,	c,	NA,	a,	NA,	b,	0.0,	nan,	0.39794,	NA,	0
2510,	nan,	NA,	b,	0.53333,	g,	NA,	a,	NA,	b,	nan,	0.0,	0.29591,	a,	0
2511,	0.19177,	c,	b,	0.53333,	NA,	i,	e,	a,	b,	0.0,	0.0,	0.39794,	NA,	0
2512,	nan,	c,	b,	0.53333,	d,	e,	a,	a,	a,	0.0,	nan,	0.39794,	a,	0
2513,	0.54795,	f,	b,	0.53333,	c,	NA,	e,	a,	NA,	0.0,	0.0,	0.62243,	a,	0
2514,	0.31504,	c,	b,	0.53333,	d,	e,	e,	a,	NA,	0.0,	0.0,	0.46939,	a,	0
2515,	nan,	NA,	i,	nan,	b,	l,	b,	d,	a,	nan,	nan,	nan,	NA,	0
2516,	0.04109,	c,	h,	0.59999,	a,	a,	NA,	a,	a,	0.0,	nan,	0.25510,	a,	0
2517,	0.38356,	c,	c,	0.40000,	NA,	NA,	a,	b,	b,	0.0,	0.0,	0.39794,	a,	0
2518,	nan,	c,	i,	0.66665,	d,	a,	e,	a,	b,	0.0,	0.0,	nan,	a,	0
2519,	nan,	c,	j,	0.13333,	NA,	i,	f,	a,	NA,	0.0,	0.0,	0.39794,	d,	0
2520,	0.17808,	NA,	b,	nan,	NA,	i,	NA,	a,	a,	0.0,	0.0,	0.39794,	NA,	0
2521,	0.10958,	c,	b,	0.53333,	f,	f,	NA,	d,	a,	0.0,	0.0,	0.39794,	NA,	0
2522,	0.17808,	NA,	h,	0.59999,	a,	NA,	NA,	a,	b,	nan,	0.39461,	0.24489,	a,	0
2523,	0.19177,	NA,	b,	0.53333,	NA,	a,	NA,	NA,	b,	0.0,	0.0,	0.39794,	NA,	0
2524,	0.12328,	c,	c,	nan,	a,	NA,	e,	a,	a,	0.0,	0.0,	0.19387,	a,	0
2525,	0.10958,	NA,	NA,	0.79998,	a,	c,	a,	a,	NA,	0.0,	0.0,	0.39794,	a,	0
2526,	0.16438,	c,	i,	0.66665,	NA,	a,	d,	NA,	b,	0.0,	0.0,	0.39794,	a,	0
2527,	0.09588,	c,	h,	0.59999,	a,	a,	d,	a,	b,	0.03325,	0.0,	0.52039,	s,	0
2528,	0.05479,	c,	c,	nan,	a,	n,	NA,	a,	b,	nan,	0.0,	0.39794,	d,	0
2529,	nan,	c,	NA,	nan,	a,	e,	d,	b,	b,	0.0,	0.0,	0.31632,	a,	0
2530,	0.26026,	c,	h,	0.59999,	b,	j,	NA,	a,	NA,	0.0,	nan,	0.39794,	a,	0
2531,	0.04109,	c,	NA,	nan,	a,	NA,	d,	a,	b,	0.0,	0.0,	0.24489,	NA,	0
2532,	0.30136,	c,	NA,	nan,	b,	d,	b,	a,	a,	0.0,	0.0,	0.39794,	a,	0
2533,	0.26026,	c,	a,	nan,	b,	j,	NA,	NA,	a,	0.05013,	0.0,	0.49997,	a,	0
2534,	0.60274,	c,	b,	nan,	b,	j,	b,	NA,	a,	0.0,	nan,	0.49997,	a,	0
2535,	0.28767,	c,	p,	0.93331,	b,	c,	b,	a,	a,	0.0,	0.0,	nan,	a,	0
2536,	0.04109,	NA,	h,	0.59999,	NA,	NA,	d,	a,	a,	0.0,	nan,	nan,	a,	0
2537,	0.05479,	c,	b,	0.53333,	d,	e,	NA,	NA,	b,	0.0,	0.0,	0.34694,	a,	0
2538,	0.31504,	NA,	b,	0.53333,	c,	h,	e,	NA,	b,	0.0,	0.0,	nan,	a,	0
2539,	nan,	c,	k,	0.33333,	b,	NA,	NA,	a,	a,	0.0,	0.0,	nan,	a,	0
2540,	0.05479,	c,	h,	0.59999,	NA,	i,	b,	a,	a,	0.0,	0.0,	nan,	a,	0
2541,	nan,	NA,	k,	0.33333,	b,	g,	b,	b,	a,	0.0,	nan,	nan,	a,	0
2542,	nan,	c,	a,	0.79998,	b,	l,	b,	a,	a,	0.0,	0.0,	0.39794,	a,	0
2543,	nan,	b,	b,	0.53333,	b,	i,	NA,	a,	a,	nan,	0.0,	0.60204,	a,	0
2544,	0.17808,	c,	NA,	nan,	d,	NA,	e,	a,	NA,	0.0,	0.0,	0.39794,	NA,	0
2545,	0.15068,	c,	e,	0.26665,	a,	d,	e,	d,	a,	0.0,	0.0,	0.39794,	d,	0
2546,	0.31504,	NA,	NA,	0.66665,	b,	i,	b,	a,	a,	nan,	0.0,	0.39794,	a,	0
2547,	0.36987,	c,	k,	0.33333,	b,	g,	b,	NA,	a,	0.0,	0.0,	0.39794,	a,	0
2548,	0.28767,	c,	b,	nan,	b,	NA,	b,	a,	NA,	0.03463,	nan,	0.39794,	i,	0
2549,	0.04109,	NA,	h,	0.59999,	a,	NA,	d,	a,	NA,	0.0,	0.0,	nan,	a,	0
2550,	0.36987,	c,	a,	0.79998,	b,	c,	b,	a,	a,	0.0,	0.0,	nan,	a,	0
2551,	0.21916,	c,	i,	0.66665,	b,	f,	b,	a,	a,	0.0,	0.0,	nan,	a,	0
2552,	0.01369,	c,	b,	nan,	a,	e,	d,	a,	b,	0.0,	0.0,	0.29591,	a,	0
2553,	0.45203,	a,	a,	0.79998,	a,	NA,	a,	a,	b,	0.0,	0.0,	nan,	NA,	0
2554,	0.41097,	d,	NA,	nan,	a,	NA,	d,	b,	a,	0.0,	0.0,	0.39794,	NA,	0
2555,	0.49312,	c,	b,	0.53333,	b,	NA,	b,	b,	NA,	0.0,	0.0,	nan,	a,	0
2556,	0.30136,	b,	h,	nan,	b,	NA,	NA,	a,	a,	nan,	nan,	0.39794,	a,	0
2557,	0.67120,	NA,	b,	nan,	NA,	NA,	b,	NA,	a,	0.0,	nan,	0.17346,	a,	0
2558,	0.12328,	c,	c,	nan,	a,	f,	a,	NA,	a,	0.0,	0.0,	0.49997,	a,	0
2559,	0.32877,	c,	j,	0.13333,	NA,	a,	b,	a,	a,	0.0,	0.0,	nan,	NA,	0
2560,	0.41097,	f,	NA,	0.59999,	b,	j,	b,	a,	a,	nan,	0.0,	0.39794,	a,	0
2561,	nan,	c,	i,	nan,	b,	d,	NA,	c,	NA,	0.0,	0.0,	nan,	a,	0
2562,	nan,	c,	e,	nan,	NA,	b,	e,	b,	b,	0.0,	nan,	0.49997,	a,	0
2563,	0.24657,	NA,	h,	0.59999,	a,	d,	a,	b,	NA,	0.0,	nan,	0.29591,	a,	0
2564,	0.32877,	NA,	b,	0.53333,	NA,	d,	b,	a,	a,	0.02884,	0.0,	0.39794,	a,	0
2565,	0.47944,	b,	NA,	nan,	b,	NA,	b,	NA,	a,	0.0,	0.0,	nan,	a,	0
2566,	0.60274,	NA,	h,	0.59999,	b,	i,	b,	a,	a,	0.0,	0.0,	0.39794,	NA,	0
2567,	nan,	f,	b,	0.53333,	d,	j,	e,	a,	a,	0.0,	0.0,	0.39794,	a,	0
2568,	0.02739,	c,	h,	0.59999,	a,	l,	NA,	a,	b,	0.0,	0.0,	0.24489,	NA,	0
2569,	0.30136,	c,	h,	0.59999,	NA,	j,	a,	a,	a,	0.0,	0.0,	0.44897,	NA,	0
2570,	0.06849,	NA,	h,	0.59999,	a,	NA,	a,	a,	a,	nan,	0.0,	0.49997,	a,	0
2571,	0.17808,	a,	b,	0.53333,	d,	a,	a,	a,	b,	0.0,	nan,	0.39794,	a,	0
2572,	0.31504,	c,	i,	0.66665,	NA,	e,	a,	NA,	b,	0.0,	0.0,	0.31632,	a,	0
2573,	0.35614,	c,	a,	nan,	f,	c,	NA,	a,	NA,	0.03325,	0.0,	nan,	a,	0
2574,	0.27395,	c,	j,	0.13333,	NA,	f,	b,	NA,	NA,	0.0,	0.0,	0.35713,	d,	0
2575,	0.08218,	c,	f,	0.73332,	a,	e,	NA,	a,	NA,	0.0,	0.0,	nan,	a,	0
2576,	0.30136,	f,	f,	nan,	c,	NA,	a,	a,	a,	nan,	nan,	nan,	a,	0
2577,	0.50685,	c,	NA,	nan,	b,	l,	b,	a,	a,	nan,	0.0,	0.39794,	a,	0
2578,	0.39724,	e,	NA,	0.59999,	b,	NA,	NA,	a,	a,	0.0,	0.0,	0.60204,	a,	0
2579,	0.04109,	c,	h,	0.59999,	a,	g,	d,	a,	b,	0.0,	0.0,	0.39794,	a,	0
2580,	0.0,	c,	NA,	0.33333,	a,	l,	d,	a,	b,	0.0,	0.0,	0.14285,	a,	0
2581,	0.26026,	NA,	b,	0.53333,	b,	d,	b,	a,	a,	0.0,	0.0,	0.39794,	a,	0
2582,	nan,	c,	b,	0.53333,	b,	l,	b,	a,	a,	0.0,	0.0,	0.44897,	a,	0
2583,	0.49312,	c,	b,	0.53333,	c,	NA,	a,	a,	b,	0.0,	0.0,	0.37755,	a,	0
2584,	0.28767,	c,	b,	0.53333,	b,	i,	NA,	a,	a,	0.0,	0.0,	nan,	a,	0
2585,	0.63015,	NA,	b,	0.53333,	b,	NA,	b,	a,	a,	0.0,	0.0,	0.31632,	a,	0
2586,	0.31504,	NA,	NA,	0.79998,	c,	NA,	a,	NA,	b,	0.0,	nan,	0.49997,	a,	0
2587,	nan,	e,	h,	0.59999,	a,	c,	a,	a,	a,	nan,	nan,	0.49997,	a,	0
2588,	0.04109,	c,	b,	0.53333,	NA,	b,	a,	a,	a,	nan,	nan,	0.42855,	a,	0
2589,	0.15068,	c,	k,	0.33333,	a,	e,	f,	c,	a,	nan,	0.0,	0.39794,	d,	0
2590,	0.57532,	c,	d,	0.86665,	NA,	c,	NA,	a,	NA,	0.0,	0.0,	0.49997,	a,	0
2591,	0.21916,	c,	m,	0.0,	b,	f,	b,	NA,	a,	0.0,	nan,	0.39794,	d,	0
2592,	0.53422,	c,	n,	0.46666,	NA,	i,	b,	a,	a,	0.0,	nan,	0.39794,	h,	0
2593,	0.19177,	f,	a,	0.79998,	a,	j,	a,	a,	b,	0.0,	0.0,	0.49997,	a,	0
2594,	0.32877,	c,	NA,	nan,	c,	l,	d,	NA,	NA,	nan,	0.0,	0.49997,	a,	0
2595,	0.10958,	a,	NA,	nan,	a,	a,	d,	NA,	b,	0.0,	0.0,	0.39794,	a,	0
2596,	0.01369,	NA,	b,	nan,	a,	NA,	f,	d,	b,	0.0,	0.0,	0.11224,	a,	0
2597,	nan,	f,	a,	0.79998,	NA,	c,	e,	b,	b,	0.0,	nan,	0.39794,	a,	0
2598,	0.30136,	c,	h,	0.59999,	a,	d,	d,	a,	a,	0.0,	0.0,	0.39794,	a,	0
2599,	0.06849,	NA,	NA,	0.59999,	a,	NA,	d,	a,	b,	0.0,	nan,	nan,	a,	0
2600,	nan,	NA,	h,	0.59999,	a,	c,	d,	a,	b,	0.0,	0.0,	0.24489,	a,	0
2601,	0.24657,	c,	a,	nan,	b,	l,	b,	a,	a,	0.0,	0.0,	0.39794,	a,	0
2602,	0.05479,	NA,	b,	0.53333,	NA,	NA,	e,	NA,	b,	0.0,	nan,	0.39794,	a,	0
2603,	0.52054,	c,	g,	0.19998,	g,	e,	e,	a,	b,	0.0,	0.0,	nan,	NA,	0
2604,	nan,	c,	b,	nan,	NA,	g,	a,	a,	a,	0.0,	0.0,	0.55101,	NA,	0
2605,	nan,	e,	c,	0.40000,	a,	c,	d,	NA,	a,	0.0,	0.0,	0.19387,	a,	0
2606,	0.10958,	NA,	NA,	0.79998,	a,	c,	a,	NA,	NA,	0.0,	0.0,	0.39794,	a,	0
2607,	0.45203,	c,	g,	0.19998,	b,	d,	b,	NA,	a,	0.0,	0.0,	nan,	a,	0
2608,	0.45203,	c,	h,	0.59999,	b,	l,	NA,	a,	a,	0.0,	0.0,	0.60204,	a,	0
2609,	0.63015,	c,	k,	0.33333,	b,	NA,	NA,	a,	a,	nan,	0.0,	0.39794,	a,	0
2610,	0.19177,	c,	b,	0.53333,	b,	g,	b,	a,	a,	0.0,	0.0,	0.49997,	NA,	0
2611,	nan,	c,	a,	0.79998,	a,	c,	NA,	a,	b,	0.0,	0.0,	0.39794,	a,	0
2612,	0.01369,	c,	NA,	0.59999,	a,	e,	d,	a,	a,	0.0,	0.0,	0.19387,	a,	0
2613,	0.35614,	f,	a,	0.79998,	NA,	c,	e,	a,	b,	0.0,	0.0,	0.47959,	a,	0
2614,	0.01369,	c,	c,	0.40000,	a,	l,	d,	NA,	a,	0.0,	0.0,	0.34694,	a,	0
2615,	0.39724,	a,	NA,	0.86665,	a,	j,	a,	a,	b,	0.0,	0.0,	0.37755,	a,	0
2616,	0.19177,	c,	g,	0.19998,	NA,	b,	NA,	a,	NA,	0.0,	0.0,	0.29591,	n,	0
2617,	nan,	c,	NA,	0.53333,	c,	l,	e,	NA,	b,	0.0,	0.0,	0.36732,	NA,	0
2618,	0.32877,	c,	d,	0.86665,	b,	c,	b,	NA,	a,	0.0,	nan,	nan,	f,	0
2619,	0.34246,	c,	b,	0.53333,	NA,	NA,	d,	NA,	a,	0.0,	0.0,	0.39794,	NA,	0
2620,	0.23289,	NA,	b,	0.53333,	a,	NA,	a,	b,	b,	0.0,	0.0,	0.39794,	a,	0
2621,	0.36987,	NA,	b,	0.53333,	a,	d,	a,	NA,	b,	0.0,	0.0,	0.39794,	NA,	0
2622,	0.12328,	NA,	NA,	0.79998,	a,	j,	NA,	NA,	b,	nan,	0.38313,	0.49997,	a,	0
2623,	0.71230,	c,	NA,	0.26665,	b,	e,	NA,	a,	a,	0.01423,	0.0,	0.34694,	a,	0
2624,	0.21916,	c,	h,	0.59999,	a,	a,	e,	a,	b,	0.0,	nan,	0.39794,	a,	0
